createdat,userid,type,result,course,status
23/07/03 1:31,12a11b388392a1,resume,FAIL,NBCamp,취업 준비중
23/07/03 11:27,8399fb63a855cb,resume,FAIL,NBCamp,취업 준비중
23/07/03 11:33,223856945edb24,interview,PASS,Hanghae,취업 준비중
23/07/03 15:09,94a4d087e77881,resume,PASS,NBCamp,취업 준비중
23/07/03 22:06,60becf747f196f,resume,FAIL,Hanghae,취업 준비중
23/07/03 22:53,26268891c94c2b,resume,FAIL,Hanghae,취업 보류
23/07/04 0:46,6404d035b94f8b,resume,PASS,Hanghae,최종합격
23/07/04 2:23,75edb3889e7479,resume,PASS,Hanghae,최종합격
23/07/04 2:28,18952747acfe57,resume,PASS,Hanghae,최종합격
23/07/04 2:42,85dc65830caa89,resume,FAIL,Hanghae,취업 준비중
23/07/04 3:14,680577226d037d,resume,PASS,Hanghae,취업 준비중
23/07/04 3:20,6529e415b5538a,resume,PASS,Hanghae,취업 준비중
23/07/04 3:25,53dcc3390d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 3:27,53dcc3390d3767,resume,PASS,Hanghae,취업 준비중
23/07/04 4:29,54118454468ec4,resume,PASS,Hanghae,취업 준비중
23/07/04 4:29,54118454468ec4,resume,PASS,Hanghae,취업 준비중
23/07/04 4:49,987cb5493c8e87,resume,PASS,Hanghae,취업 준비중
23/07/04 5:41,120337139a9167,resume,PASS,Hanghae,취업 준비중
23/07/04 5:42,50dd5140b7ff54,resume,PASS,Hanghae,최종합격
23/07/04 5:42,49abcf8921477c,resume,FAIL,Hanghae,취업 보류
23/07/04 5:44,43ccb02544a63c,resume,PASS,Hanghae,최종합격
23/07/04 5:49,96ce1787045c91,resume,CANCEL,NBCamp,취업 준비중
23/07/04 5:50,96ce1787045c91,resume,PASS,NBCamp,취업 준비중
23/07/04 7:13,51072a70d07d2d,resume,CANCEL,Hanghae,최종합격
23/07/04 7:13,47e9d978fe2894,resume,FAIL,Hanghae,취업 준비중
23/07/04 7:18,51072a70d07d2d,resume,FAIL,Hanghae,최종합격
23/07/04 7:38,94ef557431b65c,resume,PASS,Hanghae,취업 준비중
23/07/04 8:29,10f5a2418554fe,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:09,40f606150cab1d,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:10,14d84266376996,resume,FAIL,Hanghae,최종합격
23/07/04 10:12,34fedc55183e58,resume,PASS,Hanghae,취업 준비중
23/07/04 10:15,79047e49634f85,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:18,209a63356f22e2,resume,PASS,Hanghae,취업 준비중
23/07/04 10:23,58ebc034ff67c2,resume,PASS,Hanghae,취업 준비중
23/07/04 10:25,99e5e3390b1ab4,resume,PASS,Hanghae,취업 준비중
23/07/04 10:29,82f1dc45841ec1,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:29,39c0df85592ec8,resume,FAIL,Hanghae,최종합격
23/07/04 10:34,65b037490e3274,resume,FAIL,Hanghae,최종합격
23/07/04 10:38,568a9d6430d72f,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:42,229c6b807f4ebb,resume,PASS,Hanghae,취업 준비중
23/07/04 10:54,69edee42b77f5b,resume,FAIL,Hanghae,취업 준비중
23/07/04 10:59,782ba2514d7f8e,resume,PASS,Hanghae,취업 준비중
23/07/04 11:02,417063276affe4,resume,CANCEL,Hanghae,최종합격
23/07/04 11:03,417063276affe4,resume,PASS,Hanghae,최종합격
23/07/04 11:06,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:08,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:10,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:11,58c02e88c7f1d5,resume,FAIL,Hanghae,최종합격
23/07/04 11:13,27f77095936a81,resume,FAIL,Hanghae,최종합격
23/07/04 11:13,61ae6a537a5b82,resume,PASS,Hanghae,취업 준비중
23/07/04 11:13,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:14,86b0754163261d,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:15,82d3b663cd6333,resume,PASS,Hanghae,최종합격
23/07/04 11:16,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:16,21fcb331aa00e1,resume,PASS,Hanghae,취업 준비중
23/07/04 11:17,22ab6258ec1f5b,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:23,68b001435962ed,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:23,43061327055dc7,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:23,61fc9479ea78e9,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:24,65dc6269123f50,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:25,15673a9314a4bc,resume,PASS,Hanghae,취업 준비중
23/07/04 11:25,9631aa247fa159,resume,FAIL,Hanghae,취업 보류
23/07/04 11:27,8326d74904c733,resume,PASS,Hanghae,취업 준비중
23/07/04 11:32,68b001435962ed,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:33,77e53f20166dff,resume,PASS,Hanghae,취업 준비중
23/07/04 11:33,94dac018fc97d4,resume,FAIL,NBCamp,취업 준비중
23/07/04 11:34,68b001435962ed,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:34,78254051177285,resume,PASS,Hanghae,취업 준비중
23/07/04 11:35,68b001435962ed,resume,PASS,Hanghae,취업 준비중
23/07/04 11:35,95ef64932064da,resume,PASS,Hanghae,취업 준비중
23/07/04 11:36,39c7f798c06c3f,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:37,43082641a8a983,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:37,9567cc21843628,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:39,139e87189106a6,resume,FAIL,Hanghae,최종합격
23/07/04 11:39,791314873311e1,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:39,676d663241548b,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:40,96dd4f120d3767,resume,CANCEL,Hanghae,취업 준비중
23/07/04 11:41,96dd4f120d3767,resume,PASS,Hanghae,취업 준비중
23/07/04 11:42,91b40028f1cedc,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:42,172f1f48d39be0,resume,FAIL,Hanghae,최종합격
23/07/04 11:45,61b0cb761452a7,resume,FAIL,Hanghae,최종합격
23/07/04 11:45,25fd8a86a0a95f,resume,PASS,Hanghae,최종합격
23/07/04 11:45,87840b968d75d7,resume,FAIL,Hanghae,최종합격
23/07/04 11:46,512819637c2c94,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:47,499ca584d9b996,resume,PASS,NBCamp,최종합격
23/07/04 11:48,211452424b179d,resume,FAIL,Hanghae,최종합격
23/07/04 11:50,29aebc899b8f3c,resume,PASS,Hanghae,취업 준비중
23/07/04 11:53,45f32e4538716d,resume,PASS,Hanghae,최종합격
23/07/04 11:54,66de7969affcd4,resume,PASS,Hanghae,취업 준비중
23/07/04 11:56,49aaa381c6e840,resume,PASS,Hanghae,취업 준비중
23/07/04 11:56,81eb7a88ff67c2,resume,FAIL,Hanghae,최종합격
23/07/04 11:57,60113249f23257,resume,FAIL,Hanghae,최종합격
23/07/04 11:58,106f9f885fda28,resume,FAIL,Hanghae,최종합격
23/07/04 11:59,2987ae72b0678f,resume,FAIL,Hanghae,취업 준비중
23/07/04 11:59,22e9d98528e956,resume,FAIL,Hanghae,취업 보류
23/07/04 12:01,59f2fb3565d822,resume,CANCEL,Hanghae,취업 보류
23/07/04 12:01,37f11f7658716d,resume,PASS,Hanghae,최종합격
23/07/04 12:01,357ab3715c625f,resume,FAIL,Hanghae,취업 준비중
23/07/04 12:08,17913636bb7070,resume,PASS,Hanghae,취업 준비중
23/07/04 12:10,226e2111086474,resume,PASS,Hanghae,취업 준비중
23/07/04 12:13,89fdbf721e7e89,resume,FAIL,Hanghae,취업 보류
23/07/04 12:15,75fd983030e97b,resume,PASS,Hanghae,취업 준비중
23/07/04 12:24,86f879746b62a3,resume,PASS,Hanghae,취업 준비중
23/07/04 12:42,94d91154f928bb,resume,FAIL,Hanghae,취업 준비중
23/07/04 13:27,268339993cd515,resume,FAIL,Hanghae,취업 준비중
23/07/04 13:49,64a2dd82ca446e,resume,FAIL,Hanghae,취업 준비중
23/07/04 13:56,73d1df80ca1ce8,resume,FAIL,Hanghae,최종합격
23/07/04 13:58,501a39513f0d75,resume,PASS,Hanghae,취업 준비중
23/07/04 13:58,501a39513f0d75,resume,PASS,Hanghae,취업 준비중
23/07/04 14:16,24534766b01972,resume,PASS,Hanghae,최종합격
23/07/04 14:56,33c4fe218fdf4c,resume,FAIL,Hanghae,취업 준비중
23/07/04 15:11,12f44168560627,resume,PASS,Hanghae,취업 준비중
23/07/04 15:15,10583770ca51be,resume,PASS,Hanghae,취업 준비중
23/07/04 15:46,18ad0c56130d4c,resume,PASS,Hanghae,취업 준비중
23/07/04 16:09,160c8e77ef8e70,resume,FAIL,NBCamp,취업 준비중
23/07/04 16:53,498cee9333e234,resume,PASS,NBCamp,취업 준비중
23/07/04 17:01,88492392bdd055,resume,PASS,NBCamp,취업 준비중
23/07/04 18:28,91a89f314ec292,resume,CANCEL,Hanghae,취업 준비중
23/07/04 18:37,91a89f314ec292,resume,CANCEL,Hanghae,취업 준비중
23/07/04 19:56,59e86e995c8a6b,resume,FAIL,Hanghae,최종합격
23/07/04 21:38,91a89f314ec292,resume,FAIL,Hanghae,취업 준비중
23/07/05 11:59,491dfe30f78da1,resume,FAIL,Hanghae,최종합격
23/07/05 12:32,496fc937aff48f,resume,FAIL,NBCamp,최종합격
23/07/05 12:45,15673a9314a4bc,resume,PASS,Hanghae,취업 준비중
23/07/05 14:38,4280925561555e,resume,PASS,Hanghae,취업 준비중
23/07/05 15:32,920fa323275f29,resume,FAIL,NBCamp,취업 준비중
23/07/05 16:22,65c67541828a14,resume,PASS,Hanghae,취업 준비중
23/07/05 16:35,9567cc21843628,resume,FAIL,Hanghae,취업 준비중
23/07/05 16:38,6404d035b94f8b,resume,CANCEL,Hanghae,최종합격
23/07/05 16:41,6404d035b94f8b,interview,CANCEL,Hanghae,최종합격
23/07/05 17:00,6404d035b94f8b,resume,CANCEL,Hanghae,최종합격
23/07/05 17:02,6404d035b94f8b,interview,CANCEL,Hanghae,최종합격
23/07/05 17:33,680577226d037d,resume,PASS,Hanghae,취업 준비중
23/07/05 17:58,18952747acfe57,resume,PASS,Hanghae,최종합격
23/07/05 18:19,59e86e995c8a6b,resume,FAIL,Hanghae,최종합격
23/07/05 18:31,26a53728c97f06,resume,FAIL,NBCamp,취업 준비중
23/07/05 18:55,51072a70d07d2d,resume,PASS,Hanghae,최종합격
23/07/05 19:36,33c4fe218fdf4c,resume,FAIL,Hanghae,취업 준비중
23/07/05 21:17,2987ae72b0678f,resume,PASS,Hanghae,취업 준비중
23/07/05 21:20,139e87189106a6,resume,FAIL,Hanghae,최종합격
23/07/05 21:38,85dc65830caa89,resume,PASS,Hanghae,취업 준비중
23/07/05 22:31,26846c6148874a,resume,PASS,NBCamp,취업 준비중
23/07/05 22:40,69d2181060a5c3,resume,PASS,Hanghae,최종합격
23/07/06 2:39,14d84266376996,resume,PASS,Hanghae,최종합격
23/07/06 3:28,22ab6258ec1f5b,resume,FAIL,Hanghae,취업 준비중
23/07/06 3:55,6404d035b94f8b,resume,CANCEL,Hanghae,최종합격
23/07/06 3:57,6404d035b94f8b,resume,PASS,Hanghae,최종합격
23/07/06 3:57,6404d035b94f8b,interview,PASS,Hanghae,최종합격
23/07/06 4:00,6529e415b5538a,resume,PASS,Hanghae,취업 준비중
23/07/06 4:13,43061327055dc7,resume,PASS,Hanghae,취업 준비중
23/07/06 4:20,95ef64932064da,resume,PASS,Hanghae,취업 준비중
23/07/06 4:45,58c02e88c7f1d5,resume,PASS,Hanghae,최종합격
23/07/06 5:30,61b0cb761452a7,resume,FAIL,Hanghae,최종합격
23/07/06 6:11,65dc6269123f50,resume,FAIL,Hanghae,취업 준비중
23/07/06 6:12,40f606150cab1d,resume,PASS,Hanghae,취업 준비중
